model,feature_set,internal_auc,internal_auc_p,external_auc,external_auc_p,internal_delta_vs_clinical,internal_delta_p_bootstrap,external_delta_vs_clinical,external_delta_p_bootstrap,internal_delta_ci_low,internal_delta_ci_high,external_delta_ci_low,external_delta_ci_high
clinical_only,clinical,0.8257588590696061,2.5049735519990642e-33,0.8345213895288432,9.563472250062879e-37,0.0,,0.0,,,,,
clinical_plus_vote_logit_l1,clinical_vote,0.8203905815163468,2.7099396920386745e-32,0.8290644622125852,1.301094164357477e-35,-0.005368277553259304,0.257,-0.00545692731625802,0.008,-0.01445943632749471,0.0037644540356599914,-0.01001638813058274,-0.0016112853104372801
clinical_plus_vote_extratrees,clinical_vote,0.8161798514144665,1.7071104305457226e-31,0.8232732529249672,1.9828674091117984e-34,-0.009579007655139637,0.094,-0.011248136603876024,0.0,-0.020948001074168283,0.0018545072144764909,-0.017612044882624293,-0.0049707977973329825
vote_only_logit_l1,vote,0.8149940710984198,2.8541197087800588e-31,0.8199575371549894,9.23188160043825e-34,-0.010764787971186296,0.258,-0.014563852373853825,0.0,-0.028889285781172568,0.007334519879307499,-0.024535723118785924,-0.005314765994435505
vote_only_extratrees,vote,0.8150908694915664,2.737039235940955e-31,0.8198671906762434,9.624879500299464e-34,-0.010667989578039716,0.13,-0.014654198852599887,0.0,-0.02385885108594363,0.0035161460011037455,-0.02349449431751851,-0.007379946096980657
direct_vote_guarded_raw_low_smi_risk,raw_direct_vote_score,0.8152038009502376,2.606472330039689e-31,0.8189908298324073,1.4413287126162862e-33,-0.010555058119368521,0.298,-0.015530559696435908,0.012,,,,
clinical_plus_vote_randomforest,clinical_vote,0.8154619299986287,2.3307534739954415e-31,0.8168315489903781,3.879697354710465e-33,-0.010296929070977456,0.136,-0.017689840538465118,0.0,-0.023889636665926153,0.002792057912296704,-0.026414238875525978,-0.008560860384804409
vote_only_logit_l2,vote,0.7806871072606861,3.5939519266708486e-25,0.7955459185978226,4.721619263340699e-29,-0.04507175180891998,0.001,-0.038975470931020606,0.0,-0.06952460496637786,-0.020267788603924468,-0.05794329727958049,-0.0217360301807859
clinical_plus_vote_logit_l2,clinical_vote,0.7803886455484839,4.0328169042045085e-25,0.7936034693047839,1.0788527356178152e-28,-0.04537021352112225,0.0,-0.04091792022405938,0.0,-0.06921847437459787,-0.021117036140089366,-0.06096309819408722,-0.022317938509742404
direct_vote_balanced_raw_low_smi_risk,raw_direct_vote_score,0.7630133339786559,2.681884860890711e-22,0.7913990152233816,2.7378962340715844e-28,-0.06274552509095022,0.001,-0.04312237430546162,0.0,,,,
clinical_plus_vote_histgb,clinical_vote,0.7860190854165153,4.49645007497611e-26,0.7909472828296517,3.3107490384361594e-28,-0.03973977365309078,0.001,-0.043574106699191595,0.0,-0.06230552834225424,-0.01582018022077062,-0.06019594983636427,-0.02694876323291318
vote_only_histgb,vote,0.7908791714057546,6.539071132836641e-27,0.7907168993088495,3.647110106897001e-28,-0.03487968766385152,0.01,-0.043804490219993775,0.0,-0.060638698738841916,-0.008257002262287372,-0.06190658547549806,-0.027356565531225504
clinical_plus_vote_poly_logit_l2,clinical_vote_poly,0.7833974622687929,1.2554392207978666e-25,0.7848759994579211,4.1365002421906245e-27,-0.04236139680081319,0.002,-0.04964539007092217,0.0,-0.07263337282664757,-0.015261476659487403,-0.07506736680681526,-0.024946737125933198
clinical_plus_vote_svm_rbf,clinical_vote,0.7854463615903977,5.631604807178449e-26,0.7774495189050006,8.456837278501507e-26,-0.0403124974792084,0.001,-0.05707187062384267,0.0,-0.06609598425733003,-0.01414364495611061,-0.07680838573387679,-0.03741003799555571
vote_poly_logit_l2,vote_poly,0.7920689849881826,4.058905626418151e-27,0.768767222297511,2.607722045478142e-24,-0.03368987408142354,0.045,-0.0657541672313322,0.0,-0.06675498716226994,-0.000687294017158741,-0.09510074086341462,-0.03720191925949138
vote_only_svm_rbf,vote,0.7974251627422984,4.632035935706382e-28,0.7652437096264172,1.0169501929412485e-23,-0.028333696327307756,0.02,-0.06927767990242606,0.0,-0.052216551540755225,-0.0046838463345864395,-0.08897319985499161,-0.049015603142781194
