cohort,group,n,low_smi_n,low_smi_rate,male_pct,PatientAge_mean,PatientAge_sd,Height_mean,Height_sd,Weight_mean,Weight_sd,BMI_mean,BMI_sd,TAMA_mean,TAMA_sd,IMATA_mean,IMATA_sd,SMI_mean,SMI_sd,IMATA_fraction_mean,IMATA_fraction_sd,TAMA_per_weight_mean,TAMA_per_weight_sd,IMATA_per_weight_mean,IMATA_per_weight_sd,log_TAMA_to_IMATA_mean,log_TAMA_to_IMATA_sd,clinical_score_mean,clinical_score_sd,aec_score_mean,aec_score_sd
g1090_internal,C+A+,201,75,0.373134328358209,0.6965174129353234,59.55721393034826,12.802654420041373,168.36865671641792,6.473697759902539,58.052288557213934,9.805281114599339,20.34905472636816,2.324558367086111,123.06965174129353,28.59449465156029,8.07960199004975,3.592162557679707,40.275323383084576,8.451906709133775,0.06327188148530291,0.028715760258284085,2.1173774088777666,0.34614530804403076,0.14066306708800583,0.06160091508983408,2.794311389845984,0.49143465801260683,-0.49062514419293674,0.7933486189366735,1.3608718834054034,0.21661633620517473
g1090_internal,C+A-,17,4,0.23529411764705882,0.5882352941176471,56.23529411764706,12.750144174502037,168.01176470588234,6.5193828650552845,62.0,9.411628445704812,21.84529411764706,2.0213767512733085,130.41176470588235,34.98581645383135,8.941176470588236,2.5853091748206376,42.54588235294118,10.000154410572575,0.06744344408185188,0.022679213423912367,2.078798239327302,0.32129245682084145,0.1462085922917419,0.04323372273810411,2.690245289021102,0.4175701139962423,-1.4102397733350707,0.05053784570964231,0.6727921807276152,0.1494326376203324
g1090_internal,C-A+,17,5,0.29411764705882354,0.23529411764705882,57.35294117647059,17.695130603045108,161.2058823529412,7.806605423312625,56.25882352941177,9.163177589101489,21.52,1.945391991347759,107.17647058823529,20.424358295053135,8.470588235294118,6.114712248532465,37.72235294117647,6.394900829383287,0.07363545214941462,0.04524739508763413,1.9117172422499247,0.24723630582731873,0.15539508054574572,0.11533463143082255,2.676382708684998,0.5938799010841712,-2.072559898561841,0.5240684168036532,1.0317338539293992,0.18007758344389155
g1090_internal,C-A-,855,45,0.05263157894736842,0.2760233918128655,56.37543859649123,11.915612935483038,160.6429239766082,7.879409823628085,62.940538011695914,10.59738998138054,24.272479532163743,2.8208164279390675,119.81637426900585,28.764613855532374,9.52280701754386,4.0453091438444595,42.3086432748538,8.292474341825523,0.07543874861672828,0.030556172307210555,1.9002843939571026,0.2786021191892498,0.15344984339181625,0.06477073039887671,2.5856778428389764,0.4412430113264564,-3.2967000331804943,1.1647596331179118,-0.9599902758675265,0.7810270158426222
sdata_external,C+A+,251,94,0.3745019920318725,0.7768924302788844,61.77290836653386,12.660814472519919,168.25378486055777,6.81977826747541,58.6195219123506,9.902633819874286,20.56816733067729,2.296659798030271,125.60557768924303,27.785892261450606,8.880478087649402,5.139811024786616,40.991633466135454,8.576644245922504,0.06753502501821808,0.036810806544868936,2.146683074892152,0.3473029217409271,0.153135808245511,0.08556891635672216,2.7624799988305515,0.5703159606413312,-0.5030868953038129,0.7624624671558221,1.3623478997107101,0.2177139670877534
sdata_external,C+A-,10,4,0.4,0.7,67.0,10.821788720498619,164.52,6.706514246114245,60.498000000000005,10.599100381112017,22.172,2.3223158939108846,124.2,29.290878367771008,11.1,4.067486256208427,41.573,9.926421588646916,0.0850990618226174,0.034519649470495295,2.068677481601557,0.45834029820167477,0.18668248802919007,0.06699049071163934,2.444216590275432,0.42753135147189414,-1.4356198622621328,0.05736950216624572,0.6864730601338316,0.14603612922097217
sdata_external,C-A+,12,3,0.25,0.4166666666666667,56.333333333333336,15.899304349180778,161.6916666666667,6.5717658251497415,55.25833333333333,8.7049054439367,21.02,2.060922123710646,112.33333333333333,23.46499649703917,8.166666666666666,2.443296332763787,39.58833333333333,6.582045597109173,0.06902211578584307,0.02095129280967014,2.0367467179232883,0.2822749678658599,0.15072236914773304,0.051464031956480034,2.646812135007584,0.3433609225953354,-1.7160887480580218,0.1864853347386684,0.9552274092230236,0.0859956728908
sdata_external,C-A-,653,40,0.06125574272588055,0.33843797856049007,58.5635528330781,12.59203008707672,160.30245022970902,8.269362487541382,63.19924961715161,11.659900749106182,24.448560490045942,3.1435143200661746,122.32771822358346,31.17248344913728,11.01840490797546,5.084807518270089,42.778300153139355,8.832502981369712,0.08440142066710418,0.03599155554580735,1.9312441187531333,0.2918790420309249,0.17658581397641443,0.07925540600477553,2.473552712250855,0.47281399443464456,-3.2707939911101405,1.264912202290608,-0.7381015994570562,0.9054536419066345
g1090_internal,C+A+,242,82,0.33884297520661155,0.6528925619834711,58.79338842975206,12.766604097102235,167.9595041322314,6.7160682841286174,58.25603305785123,9.885744754104314,20.51731404958678,2.3032633840523564,122.86776859504133,28.779442336922333,8.057851239669422,3.444395340852381,40.38578512396695,8.425819807147331,0.06337416435745535,0.027852338700704818,2.105258598537276,0.334963424724966,0.14009906953643145,0.05949986165880909,2.788311434970673,0.4814347620166622,-0.666876520215301,0.8231046819173087,1.2571899064760066,0.3130447658599324
g1090_internal,C+A-,31,4,0.12903225806451613,0.6451612903225806,58.12903225806452,12.97880820282014,167.18387096774197,6.034572438551803,63.03225806451613,10.136909032401485,22.40967741935484,2.274017713022435,132.2258064516129,25.679706225499483,9.129032258064516,3.913582633886509,43.798387096774206,7.0188579777502245,0.0643729957539449,0.02212389116213805,2.0970750040686963,0.2284004161736204,0.14434170120190515,0.05271947210847361,2.7372027914386967,0.39397039214414303,-1.6452087785410097,0.08539873697738651,0.13003760664583014,0.316770075180422
g1090_internal,C-A+,31,8,0.25806451612903225,0.25806451612903225,56.806451612903224,18.691208904792127,159.6677419354839,7.369685072275214,56.090322580645164,9.347989261108852,21.86,2.1264383367499757,104.90322580645162,27.144495867744133,9.387096774193548,6.380582101735644,37.33483870967743,9.680433485806217,0.0828834780435378,0.04762465753139279,1.8859218794073762,0.4330903478167202,0.1720170926290366,0.1222184156839431,2.5232275296333566,0.5310740805584047,-2.370512115315322,0.39714561417460387,0.7253468061565357,0.22485715639379228
g1090_internal,C-A-,786,35,0.044529262086514,0.2595419847328244,56.3765903307888,11.694983913691855,160.3179389312977,7.819394234366496,63.23449109414758,10.550716668774749,24.481921119592876,2.7694053718289746,119.76335877862596,28.7249194891761,9.59033078880407,4.012097393575447,42.424045801526724,8.24129970381436,0.0759728002793307,0.030359180817468336,1.889604700980646,0.269938206354081,0.1538028722472694,0.06361755627152528,2.5773525619990263,0.44043856866735576,-3.42319378011794,1.1241151875990891,-1.08019894259179,0.6889471312348548
sdata_external,C+A+,296,104,0.35135135135135137,0.7567567567567568,61.557432432432435,12.66183691504577,167.7418918918919,6.991665871796884,58.86378378378379,9.97765485882858,20.781385135135135,2.3298367820148127,125.35810810810811,27.958203704364006,9.006756756756756,4.892743324795106,41.07564189189189,8.507402375566732,0.06876952657971593,0.03574335464010755,2.1322761256179805,0.34063700120311546,0.15508974351484717,0.08237431251329116,2.7331382254145717,0.5517921154497726,-0.6666445342115497,0.8024995010251177,1.2623560644283536,0.31464878175328687
sdata_external,C+A-,12,4,0.3333333333333333,0.75,59.5,17.87583437340631,166.04999999999998,5.207773909350239,62.44166666666666,9.425445090366566,22.540833333333335,2.3639468473232848,128.75,31.54542179720595,7.909090909090909,4.9689947767037435,43.82583333333334,10.133504696019163,0.05837866092611396,0.030138101096282857,2.043988143028577,0.3121063595315745,0.12221424420391744,0.058448489167958986,2.8835482082140405,0.5004033693248252,-1.6507764806520884,0.08203449573064724,0.3154749765074046,0.11998111275869662
sdata_external,C-A+,23,0,0.0,0.2608695652173913,59.30434782608695,7.4127334095319055,159.90434782608693,6.5998263242210715,56.334782608695654,9.051298686107886,21.889565217391304,1.9406734497939575,114.26086956521739,28.384082273031368,9.478260869565217,3.9642672740069944,40.53478260869564,8.08157155596789,0.07812974917278907,0.03246918408846258,2.0190781678686536,0.2831302798103701,0.16967302054228775,0.06956865173045987,2.5270308490355347,0.36717572958573347,-2.27467437144461,0.4193270056312447,0.6726255292576925,0.18381242282486487
sdata_external,C-A-,595,33,0.05546218487394958,0.3176470588235294,58.477310924369746,12.709287922252186,159.9541176470588,8.270575547392445,63.499176470588225,11.766527605015007,24.665949579831935,3.1463707751459586,122.21512605042017,31.256203798092987,11.178151260504201,5.168395925403564,42.85263865546219,8.861811627163956,0.08548797343432543,0.036267528547463665,1.9208860638900458,0.2930712157155894,0.17830778429109193,0.0802120797720602,2.4596522774386327,0.4746900691241181,-3.4077293110551703,1.2360996775867903,-0.8649025950720391,0.8463022339043625
