group,n,events,auc_clinical,auc_aec_gate,delta_auc,delta_specificity,delta_specificity_ci_low,delta_specificity_ci_high,delta_sensitivity,delta_ppv,fp_removed
Overall,926,141,0.8336992365722546,0.8419569047296381,0.008257668157383491,0.11974522292993628,0.096507315586263,0.14502003816793896,-0.02127659574468077,0.061432468991448275,94
Male,428,98,0.8060915275200989,0.8060915275200989,0.0,0.10606060606060602,0.07491299710925878,0.14074161062040141,-0.020408163265306145,0.03215724406167525,35
Female,498,43,0.8234091489905443,0.8391515461282903,0.015742397137746056,0.12967032967032965,0.09708623243077094,0.1637371024461877,-0.023255813953488413,0.12179487179487178,59
SOMATOM Definition Flash,228,31,0.908465695103979,0.9104306533486164,0.0019649582446373826,0.14720812182741116,0.09693877551020402,0.202020202020202,-0.032258064516129115,0.07374185629307906,29
SOMATOM Definition AS+,166,17,0.8073430714567706,0.7998420844848007,-0.007500986971969992,0.0738255033557047,0.029925262590896902,0.12328767123287676,-0.11764705882352944,0.008351488743645608,11
Revolution EVO,149,43,0.8253620008775779,0.8466432645897324,0.02128126371215444,0.12264150943396224,0.055555555555555525,0.19191919191919193,0.0,0.08065057008718979,13
iCT 256,135,14,0.7497048406139315,0.7532467532467533,0.0035419126328217754,0.11570247933884303,0.05713214714114356,0.17948717948717952,0.0,0.05174731182795697,14
SOMATOM Force,123,12,0.8671171171171171,0.8536036036036037,-0.013513513513513487,0.07207207207207211,0.01842932381923206,0.12784690799396686,0.0,0.030344827586206907,8
LightSpeed VCT,50,9,0.8482384823848238,0.8482384823848238,0.0,0.24390243902439024,0.11904761904761907,0.3902439024390244,0.0,0.21333333333333332,10
Sensation 64,48,9,0.8148148148148148,0.8176638176638177,0.002849002849002913,0.1282051282051282,0.02777777777777779,0.25,0.0,0.08454106280193235,5
