model,group,n,events,prevalence,auc,threshold,tp,fn,tn,fp,sensitivity,specificity,ppv,npv,pred_positive_rate
clinical,Overall,926,141,0.15226781857451405,0.8336992365722546,-0.17615786612778003,125,16,441,344,0.8865248226950354,0.5617834394904458,0.26652452025586354,0.9649890590809628,0.5064794816414687
clinical,Male,428,98,0.22897196261682243,0.8060915275200989,-0.17615786612778003,92,6,109,221,0.9387755102040817,0.3303030303030303,0.2939297124600639,0.9478260869565217,0.7313084112149533
clinical,Female,498,43,0.08634538152610442,0.8234091489905443,-0.17615786612778003,33,10,332,123,0.7674418604651163,0.7296703296703296,0.21153846153846154,0.9707602339181286,0.3132530120481928
clinical,Scanner=SOMATOM Definition Flash,228,31,0.13596491228070176,0.908465695103979,-0.17615786612778003,30,1,108,89,0.967741935483871,0.5482233502538071,0.25210084033613445,0.9908256880733946,0.5219298245614035
clinical,Scanner=SOMATOM Definition AS+,166,17,0.10240963855421686,0.8073430714567706,-0.17615786612778003,16,1,84,65,0.9411764705882353,0.5637583892617449,0.19753086419753085,0.9882352941176471,0.4879518072289157
clinical,Scanner=Revolution EVO,149,43,0.28859060402684567,0.8253620008775779,-0.17615786612778003,37,6,59,47,0.8604651162790697,0.5566037735849056,0.44047619047619047,0.9076923076923077,0.5637583892617449
clinical,Scanner=iCT 256,135,14,0.1037037037037037,0.7497048406139315,-0.17615786612778003,11,3,70,51,0.7857142857142857,0.5785123966942148,0.1774193548387097,0.958904109589041,0.45925925925925926
clinical,Scanner=SOMATOM Force,123,12,0.0975609756097561,0.8671171171171171,-0.17615786612778003,11,1,64,47,0.9166666666666666,0.5765765765765766,0.1896551724137931,0.9846153846153847,0.4715447154471545
clinical,Scanner=LightSpeed VCT,50,9,0.18,0.8482384823848238,-0.17615786612778003,8,1,24,17,0.8888888888888888,0.5853658536585366,0.32,0.96,0.5
clinical,Scanner=Sensation 64,48,9,0.1875,0.8148148148148148,-0.17615786612778003,7,2,23,16,0.7777777777777778,0.5897435897435898,0.30434782608695654,0.92,0.4791666666666667
aec_boundary_gate,Overall,926,141,0.15226781857451405,0.8419569047296381,0.46205567465486497,122,19,535,250,0.8652482269503546,0.6815286624203821,0.3279569892473118,0.9657039711191335,0.4017278617710583
aec_boundary_gate,Male,428,98,0.22897196261682243,0.8060915275200989,0.46205567465486497,90,8,144,186,0.9183673469387755,0.43636363636363634,0.32608695652173914,0.9473684210526315,0.6448598130841121
aec_boundary_gate,Female,498,43,0.08634538152610442,0.8391515461282903,0.46205567465486497,32,11,391,64,0.7441860465116279,0.8593406593406593,0.3333333333333333,0.972636815920398,0.1927710843373494
aec_boundary_gate,Scanner=SOMATOM Definition Flash,228,31,0.13596491228070176,0.9104306533486164,0.46205567465486497,29,2,137,60,0.9354838709677419,0.6954314720812182,0.3258426966292135,0.9856115107913669,0.39035087719298245
aec_boundary_gate,Scanner=SOMATOM Definition AS+,166,17,0.10240963855421686,0.7998420844848007,0.46205567465486497,14,3,95,54,0.8235294117647058,0.6375838926174496,0.20588235294117646,0.9693877551020408,0.40963855421686746
aec_boundary_gate,Scanner=Revolution EVO,149,43,0.28859060402684567,0.8466432645897324,0.46205567465486497,37,6,72,34,0.8604651162790697,0.6792452830188679,0.5211267605633803,0.9230769230769231,0.47651006711409394
aec_boundary_gate,Scanner=iCT 256,135,14,0.1037037037037037,0.7532467532467533,0.46205567465486497,11,3,84,37,0.7857142857142857,0.6942148760330579,0.22916666666666666,0.9655172413793104,0.35555555555555557
aec_boundary_gate,Scanner=SOMATOM Force,123,12,0.0975609756097561,0.8536036036036037,0.46205567465486497,11,1,72,39,0.9166666666666666,0.6486486486486487,0.22,0.9863013698630136,0.4065040650406504
aec_boundary_gate,Scanner=LightSpeed VCT,50,9,0.18,0.8482384823848238,0.46205567465486497,8,1,34,7,0.8888888888888888,0.8292682926829268,0.5333333333333333,0.9714285714285714,0.3
aec_boundary_gate,Scanner=Sensation 64,48,9,0.1875,0.8176638176638177,0.46205567465486497,7,2,28,11,0.7777777777777778,0.717948717948718,0.3888888888888889,0.9333333333333333,0.375
