group,n,events,auc_clinical,auc_aec_gate,delta_auc,sens_clinical,sens_aec_gate,delta_sens,spec_clinical,spec_aec_gate,delta_spec,ppv_clinical,ppv_aec_gate,delta_ppv,npv_clinical,npv_aec_gate,delta_npv,fp_clinical,fp_aec_gate,delta_fp,tp_clinical,tp_aec_gate,delta_tp
Overall,926,141,0.8336992365722546,0.8419569047296381,0.008257668157383491,0.8865248226950354,0.8652482269503546,-0.02127659574468077,0.5617834394904458,0.6815286624203821,0.11974522292993628,0.26652452025586354,0.3279569892473118,0.061432468991448275,0.9649890590809628,0.9657039711191335,0.0007149120381707563,344,250,-94,125,122,-3
Male,428,98,0.8060915275200989,0.8060915275200989,0.0,0.9387755102040817,0.9183673469387755,-0.020408163265306145,0.3303030303030303,0.43636363636363634,0.10606060606060602,0.2939297124600639,0.32608695652173914,0.03215724406167525,0.9478260869565217,0.9473684210526315,-0.0004576659038901809,221,186,-35,92,90,-2
Female,498,43,0.8234091489905443,0.8391515461282903,0.015742397137746056,0.7674418604651163,0.7441860465116279,-0.023255813953488413,0.7296703296703296,0.8593406593406593,0.12967032967032965,0.21153846153846154,0.3333333333333333,0.12179487179487178,0.9707602339181286,0.972636815920398,0.0018765820022693669,123,64,-59,33,32,-1
Scanner=SOMATOM Definition Flash,228,31,0.908465695103979,0.9104306533486164,0.0019649582446373826,0.967741935483871,0.9354838709677419,-0.032258064516129115,0.5482233502538071,0.6954314720812182,0.14720812182741116,0.25210084033613445,0.3258426966292135,0.07374185629307906,0.9908256880733946,0.9856115107913669,-0.0052141772820276655,89,60,-29,30,29,-1
Scanner=SOMATOM Definition AS+,166,17,0.8073430714567706,0.7998420844848007,-0.007500986971969992,0.9411764705882353,0.8235294117647058,-0.11764705882352944,0.5637583892617449,0.6375838926174496,0.0738255033557047,0.19753086419753085,0.20588235294117646,0.008351488743645608,0.9882352941176471,0.9693877551020408,-0.01884753901560632,65,54,-11,16,14,-2
Scanner=Revolution EVO,149,43,0.8253620008775779,0.8466432645897324,0.02128126371215444,0.8604651162790697,0.8604651162790697,0.0,0.5566037735849056,0.6792452830188679,0.12264150943396224,0.44047619047619047,0.5211267605633803,0.08065057008718979,0.9076923076923077,0.9230769230769231,0.015384615384615441,47,34,-13,37,37,0
Scanner=iCT 256,135,14,0.7497048406139315,0.7532467532467533,0.0035419126328217754,0.7857142857142857,0.7857142857142857,0.0,0.5785123966942148,0.6942148760330579,0.11570247933884303,0.1774193548387097,0.22916666666666666,0.05174731182795697,0.958904109589041,0.9655172413793104,0.006613131790269344,51,37,-14,11,11,0
Scanner=SOMATOM Force,123,12,0.8671171171171171,0.8536036036036037,-0.013513513513513487,0.9166666666666666,0.9166666666666666,0.0,0.5765765765765766,0.6486486486486487,0.07207207207207211,0.1896551724137931,0.22,0.030344827586206907,0.9846153846153847,0.9863013698630136,0.0016859852476289738,47,39,-8,11,11,0
Scanner=LightSpeed VCT,50,9,0.8482384823848238,0.8482384823848238,0.0,0.8888888888888888,0.8888888888888888,0.0,0.5853658536585366,0.8292682926829268,0.24390243902439024,0.32,0.5333333333333333,0.21333333333333332,0.96,0.9714285714285714,0.011428571428571455,17,7,-10,8,8,0
Scanner=Sensation 64,48,9,0.8148148148148148,0.8176638176638177,0.002849002849002913,0.7777777777777778,0.7777777777777778,0.0,0.5897435897435898,0.717948717948718,0.1282051282051282,0.30434782608695654,0.3888888888888889,0.08454106280193235,0.92,0.9333333333333333,0.013333333333333308,16,11,-5,7,7,0
