partition_k,partition_id,n,events,auc_clinical,auc_aec_gate,delta_auc,sens_clinical,sens_aec_gate,delta_sens,spec_clinical,spec_aec_gate,delta_spec,ppv_clinical,ppv_aec_gate,delta_ppv,fp_clinical,fp_aec_gate,delta_fp,tp_clinical,tp_aec_gate,delta_tp
3,1,310,48,0.8161577608142494,0.8293575063613231,0.013199745547073705,0.8333333333333334,0.8333333333333334,0.0,0.5763358778625954,0.6755725190839694,0.09923664122137399,0.26490066225165565,0.32,0.05509933774834436,111,85,-26,40,40,0
3,2,309,47,0.8694169238265389,0.8823290563586162,0.012912132532077347,0.9361702127659575,0.9361702127659575,0.0,0.549618320610687,0.6946564885496184,0.14503816793893132,0.2716049382716049,0.3548387096774194,0.08323377140581445,118,80,-38,44,44,0
3,3,307,46,0.8182575378977178,0.8180909545227386,-0.00016658337497921227,0.8913043478260869,0.8260869565217391,-0.06521739130434778,0.5593869731800766,0.6743295019157088,0.11494252873563227,0.26282051282051283,0.3089430894308943,0.046122576610381494,115,85,-30,41,38,-3
5,1,186,29,0.8664616736217878,0.8857895892817922,0.019327915660004358,0.9310344827586207,0.9310344827586207,0.0,0.5605095541401274,0.6942675159235668,0.13375796178343946,0.28125,0.36,0.07874999999999999,69,48,-21,27,27,0
5,2,186,29,0.8183615198770041,0.8218756863606413,0.0035141664836372266,0.8620689655172413,0.8275862068965517,-0.03448275862068961,0.5477707006369427,0.6815286624203821,0.13375796178343946,0.2604166666666667,0.32432432432432434,0.06390765765765766,71,50,-21,25,24,-1
5,3,186,29,0.8315396441906435,0.8190204260926861,-0.012519218097957419,0.8275862068965517,0.7931034482758621,-0.03448275862068961,0.5859872611464968,0.6751592356687898,0.08917197452229297,0.2696629213483146,0.3108108108108108,0.0411478894624962,65,51,-14,24,23,-1
5,4,184,27,0.8129275772587875,0.8360462373201226,0.023118660061335117,0.8518518518518519,0.8148148148148148,-0.03703703703703709,0.554140127388535,0.6942675159235668,0.14012738853503182,0.24731182795698925,0.3142857142857143,0.06697388632872503,70,48,-22,23,22,-1
5,5,184,27,0.8369898560981364,0.8478414720452937,0.010851615947157334,0.9629629629629629,0.9629629629629629,0.0,0.5605095541401274,0.6624203821656051,0.10191082802547768,0.2736842105263158,0.3291139240506329,0.05542971352431708,69,53,-16,26,26,0
10,1,94,15,0.8886075949367088,0.9122362869198313,0.023628691983122452,1.0,1.0,0.0,0.6455696202531646,0.7974683544303798,0.15189873417721522,0.3488372093023256,0.4838709677419355,0.1350337584396099,28,16,-12,15,15,0
10,2,94,15,0.7434599156118143,0.7518987341772152,0.008438818565400852,0.8,0.7333333333333333,-0.06666666666666676,0.5443037974683544,0.6075949367088608,0.06329113924050633,0.25,0.2619047619047619,0.011904761904761918,36,31,-5,12,11,-1
10,3,94,15,0.810126582278481,0.8236286919831224,0.013502109704641385,0.8,0.8,0.0,0.5822784810126582,0.6835443037974683,0.10126582278481011,0.26666666666666666,0.32432432432432434,0.05765765765765768,33,25,-8,12,12,0
10,4,93,14,0.8743218806509946,0.8698010849909584,-0.004520795660036159,0.9285714285714286,0.8571428571428571,-0.07142857142857151,0.5189873417721519,0.6455696202531646,0.12658227848101267,0.2549019607843137,0.3,0.04509803921568628,38,28,-10,13,12,-1
10,5,93,14,0.8074141048824593,0.7920433996383364,-0.015370705244122984,0.7857142857142857,0.7857142857142857,0.0,0.5316455696202531,0.6582278481012658,0.12658227848101267,0.22916666666666666,0.2894736842105263,0.06030701754385967,37,27,-10,11,11,0
10,6,92,14,0.8031135531135531,0.8122710622710623,0.009157509157509125,1.0,0.8571428571428571,-0.1428571428571429,0.44871794871794873,0.5897435897435898,0.14102564102564102,0.24561403508771928,0.2727272727272727,0.027113237639553422,43,32,-11,14,12,-2
10,7,92,14,0.9203296703296703,0.9175824175824175,-0.0027472527472527375,0.9285714285714286,0.9285714285714286,0.0,0.6153846153846154,0.717948717948718,0.10256410256410253,0.3023255813953488,0.37142857142857144,0.06910299003322262,30,22,-8,13,13,0
10,8,92,14,0.8104395604395604,0.8379120879120879,0.027472527472527486,0.9285714285714286,0.9285714285714286,0.0,0.5,0.6153846153846154,0.11538461538461542,0.25,0.3023255813953488,0.05232558139534882,39,30,-9,13,13,0
10,9,91,13,0.8451676528599605,0.849112426035503,0.0039447731755424265,0.8461538461538461,0.8461538461538461,0.0,0.6282051282051282,0.782051282051282,0.15384615384615385,0.275,0.39285714285714285,0.11785714285714283,29,17,-12,11,11,0
10,10,91,13,0.8333333333333334,0.868836291913215,0.035502958579881616,0.8461538461538461,0.9230769230769231,0.07692307692307698,0.6025641025641025,0.717948717948718,0.11538461538461542,0.2619047619047619,0.35294117647058826,0.09103641456582634,31,22,-9,11,12,1
