model,threshold_source,threshold,cv_auc,test_auc,sensitivity,specificity,ppv,npv,tp,fn,tn,fp,coef_clinical_z,coef_aec_z,intercept,coef_female,coef_aec_x_female
clinical_only,train_youden,-0.17615786612778003,0.8218304576144037,0.8336992365722546,0.8865248226950354,0.5617834394904458,0.26652452025586354,0.9649890590809628,125,16,441,344,,,,,
aec_expert_only_direct_curve_linsvm,train_youden,-0.16694320909735372,0.5783542659858513,0.5661652437096264,0.48226950354609927,0.597452229299363,0.17708333333333334,0.8653136531365314,68,73,469,316,,,,,
simple_logistic_stack_clinical_plus_aec,train_youden,-0.33403264856645476,0.8222216844533714,0.8304015900980259,0.8794326241134752,0.578343949044586,0.2725274725274725,0.9639065817409767,124,17,454,331,1.4351662754072276,-0.046727403254639616,-0.6488897267786324,,
classic_meta_logistic_clinical_aec_sex_interaction,train_youden,-0.35311164271183254,0.8220764868636514,0.829678818268058,0.8865248226950354,0.5770700636942675,0.2735229759299781,0.9658848614072495,125,16,453,332,1.419377851432853,-0.04993252377796791,-0.603043912936133,-0.0698418007930623,0.004439402939792643
hard_indeterminate_zone_all_sex_w0.50_lambda025,train_youden,0.6975397117803699,0.8170066710225944,0.8385237385372906,0.8014184397163121,0.7210191082802547,0.34036144578313254,0.9528619528619529,113,28,566,219,,,,,
hard_indeterminate_zone_female_only_w0.50_lambda025,train_youden,0.4629643875604528,0.8212416007227613,0.841532276279532,0.8652482269503546,0.6764331210191082,0.324468085106383,0.9654545454545455,122,19,531,254,,,,,
hard_indeterminate_zone_all_sex_w0.75_lambda025,train_youden,0.6502997411443046,0.8137881244504674,0.839300718254506,0.7801418439716312,0.7388535031847133,0.3492063492063492,0.9492635024549918,110,31,580,205,,,,,
hard_indeterminate_zone_female_only_w0.75_lambda025,train_youden,0.4629643875604528,0.8177487920367189,0.8437276957130596,0.8581560283687943,0.6853503184713375,0.328804347826087,0.96415770609319,121,20,538,247,,,,,
hard_indeterminate_zone_all_sex_w1.00_lambda025,train_youden,0.6502997411443046,0.8131105356984407,0.8351447802321904,0.75177304964539,0.7477707006369426,0.34868421052631576,0.9437299035369775,106,35,587,198,,,,,
hard_indeterminate_zone_female_only_w1.00_lambda025,train_youden,0.4629643875604528,0.8170389371536433,0.8403125988164611,0.8439716312056738,0.6878980891719745,0.3269230769230769,0.9608540925266904,119,22,540,245,,,,,
hard_indeterminate_zone_all_sex_w1.25_lambda025,train_youden,0.6502997411443046,0.8122998491558373,0.8352170574151873,0.75177304964539,0.7503184713375797,0.3509933774834437,0.9439102564102564,106,35,589,196,,,,,
hard_indeterminate_zone_female_only_w1.25_lambda025,train_youden,0.4629643875604528,0.8171599351450766,0.8398337624791073,0.8439716312056738,0.6878980891719745,0.3269230769230769,0.9608540925266904,119,22,540,245,,,,,
old_benchmark_female_gaussian_boundary_lambda025,train_youden,0.46205567465486497,0.81844251385427,0.8419569047296381,0.8652482269503546,0.6815286624203821,0.3279569892473118,0.9657039711191335,122,19,535,250,,,,,
