rule,n_positive,sensitivity,specificity,ppv,npv,tp,fn,tn,fp,threshold,removed_n,removed_events,removed_prevalence,target_train_ppv
clinical_positive_baseline,469,0.8865248226950354,0.5617834394904458,0.26652452025586354,0.9649890590809628,125,16,441,344,,,,,
clinical_positive_minus_simple_aec_lowrisk_cap_0.030,454,0.8652482269503546,0.5770700636942675,0.2687224669603524,0.9597457627118644,122,19,453,332,-2.4274891595387964,15.0,3.0,0.2,
clinical_positive_minus_simple_aec_lowrisk_cap_0.050,416,0.8156028368794326,0.6165605095541401,0.2764423076923077,0.9490196078431372,115,26,484,301,-1.6566577217009444,53.0,10.0,0.18867924528301888,
clinical_positive_minus_simple_aec_lowrisk_cap_0.075,416,0.8156028368794326,0.6165605095541401,0.2764423076923077,0.9490196078431372,115,26,484,301,-1.6566577217009444,53.0,10.0,0.18867924528301888,
clinical_positive_minus_simple_aec_lowrisk_cap_0.100,416,0.8156028368794326,0.6165605095541401,0.2764423076923077,0.9490196078431372,115,26,484,301,-1.655508808501597,53.0,10.0,0.18867924528301888,
clinical_positive_minus_simple_aec_lowrisk_cap_0.125,380,0.7304964539007093,0.6471337579617834,0.2710526315789474,0.9304029304029304,103,38,508,277,-1.2231999272576546,89.0,22.0,0.24719101123595505,
simple_aec_high_priority_only_ppv_0.30,24,0.09219858156028368,0.9859872611464968,0.5416666666666666,0.8580931263858093,13,128,774,11,2.408883654199135,,,,0.3
simple_aec_high_priority_only_ppv_0.35,19,0.06382978723404255,0.9872611464968153,0.47368421052631576,0.8544652701212789,9,132,775,10,2.6212209351770417,,,,0.35
simple_aec_high_priority_only_ppv_0.40,19,0.06382978723404255,0.9872611464968153,0.47368421052631576,0.8544652701212789,9,132,775,10,2.622709489505515,,,,0.4
simple_aec_high_priority_only_ppv_0.45,15,0.0425531914893617,0.9885350318471338,0.4,0.8518111964873765,6,135,776,9,2.928274069942705,,,,0.45
simple_aec_high_priority_only_ppv_0.50,15,0.0425531914893617,0.9885350318471338,0.4,0.8518111964873765,6,135,776,9,2.928274069942705,,,,0.5
