feature,feature_type,test,TP_stat,FP_stat,stat_label,effect,effect_name,n_TP,n_FP,p_value,q_value_fdr_bh,significant_q<0.05
height_std,clinic,Mann-Whitney U,0.7080017288084058,0.26921174478500853,median,-0.1815182784149756,rank_biserial_r,131,398,0.0018120798391528215,0.021406627275204326,True
age_std,clinic,Mann-Whitney U,0.6556121989661763,0.3288179623716264,median,-0.17681921055659977,rank_biserial_r,131,398,0.0023785141416893694,0.021406627275204326,True
sex_m,clinic,Fisher exact,0.7251908396946565,0.5804020100502513,proportion=1,1.9077681577681578,odds_ratio,131,398,0.0036348502122011306,0.021809101273206784,True
peak_pos,aec_shape,Mann-Whitney U,0.1796875,0.15625,median,-0.14352295830296513,rank_biserial_r,131,398,0.013660412486636743,0.06147185618986535,False
early_late_diff,aec_shape,Mann-Whitney U,0.16593094394644659,0.21444867986097926,median,0.13663738540028392,rank_biserial_r,131,398,0.018926527520805318,0.06813549907489914,False
centroid,aec_shape,Mann-Whitney U,0.46686998770618626,0.4535638225887067,median,-0.09448003375656921,rank_biserial_r,131,398,0.10464275767993911,0.31392827303981735,False
slope_late,aec_shape,Mann-Whitney U,0.0013674608010264227,0.0008782897569386444,median,-0.08400782538647444,rank_biserial_r,131,398,0.14906340568159285,0.3678563298944317,False
slope_early,aec_shape,Mann-Whitney U,-0.0028954232178950894,-0.003514216894186222,median,-0.08113084506501966,rank_biserial_r,131,398,0.16349170217530296,0.3678563298944317,False
skew,aec_shape,Mann-Whitney U,0.06001289737227168,0.11813272120054036,median,0.06989144194253716,rank_biserial_r,131,398,0.23000689036807687,0.3803734457171713,False
weight_std,clinic,Mann-Whitney U,-0.2756443269987639,-0.3700350618643639,median,0.06776247650466072,rank_biserial_r,131,398,0.24445996503619816,0.3803734457171713,False
trough_pos,aec_shape,Mann-Whitney U,0.609375,0.625,median,0.06634316621274305,rank_biserial_r,131,398,0.2521460807506736,0.3803734457171713,False
peak_val,aec_shape,Mann-Whitney U,1.1972420817612999,1.21107477888578,median,0.06647742529441103,rank_biserial_r,131,398,0.25358229714478087,0.3803734457171713,False
kurtosis,aec_shape,Mann-Whitney U,-1.1587092180050615,-1.2116981290044748,median,-0.05638881430051024,rank_biserial_r,131,398,0.3328554218516986,0.46087673794850575,False
trough_val,aec_shape,Mann-Whitney U,0.7796830925040603,0.7854504309003062,median,0.05259120027619013,rank_biserial_r,131,398,0.36645218555164283,0.47115280999496933,False
total_abs_dev,aec_shape,Mann-Whitney U,0.11571028660586874,0.12244516879652007,median,0.04185047374275963,rank_biserial_r,131,398,0.4723731755660583,0.5668478106792699,False
std,aec_shape,Mann-Whitney U,0.13472861435024383,0.13781506753337194,median,0.031186466684567926,rank_biserial_r,131,398,0.5923558117567667,0.6664002882263625,False
frac_above_center,aec_shape,Mann-Whitney U,0.4765625,0.46875,median,-0.02769573056120289,rank_biserial_r,131,398,0.634249987202567,0.6715588099791886,False
range,aec_shape,Mann-Whitney U,0.424365823786109,0.42344395607819624,median,0.013656066592504512,rank_biserial_r,131,398,0.8147760311111348,0.8147760311111348,False
