config,seed,fold,best_epoch,best_val_loss,pos_weight_mean
surrogate_mimic_balanced,20260701,0,80,0.47231078147888184,14.694365501403809
surrogate_mimic_balanced,20260701,1,131,0.3883107602596283,14.442145347595215
surrogate_mimic_balanced,20260701,2,85,0.5253182649612427,16.19345474243164
surrogate_mimic_balanced,20260701,3,158,0.37671327590942383,15.455757141113281
surrogate_mimic_balanced,20260701,4,173,0.3307904005050659,14.681891441345215
surrogate_mimic_balanced,20260711,0,179,0.32728487253189087,14.672362327575684
surrogate_mimic_balanced,20260711,1,67,0.5179319977760315,15.254853248596191
surrogate_mimic_balanced,20260711,2,32,0.5685197710990906,15.467035293579102
surrogate_mimic_balanced,20260711,3,88,0.4564768075942993,15.461631774902344
surrogate_mimic_balanced,20260711,4,177,0.34804654121398926,14.565728187561035
surrogate_mimic_guarded,20260701,0,80,0.48444151878356934,14.300769805908203
surrogate_mimic_guarded,20260701,1,164,0.3449166417121887,14.071656227111816
surrogate_mimic_guarded,20260701,2,42,0.5510619878768921,15.767354965209961
surrogate_mimic_guarded,20260701,3,72,0.442486971616745,15.04366683959961
surrogate_mimic_guarded,20260701,4,167,0.36448344588279724,14.298929214477539
surrogate_mimic_guarded,20260711,0,168,0.3757351338863373,14.290206909179688
surrogate_mimic_guarded,20260711,1,100,0.4803718030452728,14.853181838989258
surrogate_mimic_guarded,20260711,2,34,0.5366733074188232,15.070780754089355
surrogate_mimic_guarded,20260711,3,57,0.4842050075531006,15.053643226623535
surrogate_mimic_guarded,20260711,4,80,0.42408865690231323,14.170730590820312
