q,cohort,rule,n_positive,events_in_positive,positive_rate_ppv,sensitivity_capture,specificity,accuracy,positive_workload_fraction
0.2,gangnam_internal,Clinical+,218,79,0.3623853211009174,0.6124031007751938,0.8553590010405827,0.826605504587156,0.2
0.2,gangnam_internal,AEC+ global,218,80,0.3669724770642202,0.6201550387596899,0.8563995837669095,0.828440366972477,0.2
0.2,gangnam_internal,Clinical+ OR AEC+,235,84,0.3574468085106383,0.6511627906976745,0.8428720083246618,0.8201834862385321,0.21559633027522937
0.2,gangnam_internal,Clinical+ AND AEC+,201,75,0.373134328358209,0.5813953488372093,0.8688865764828304,0.8348623853211009,0.18440366972477065
0.2,sinchon_external,Clinical+,261,98,0.37547892720306514,0.6950354609929078,0.7923566878980892,0.7775377969762419,0.2818574514038877
0.2,sinchon_external,AEC+ global,263,97,0.3688212927756654,0.6879432624113475,0.7885350318471338,0.7732181425485961,0.2840172786177106
0.2,sinchon_external,Clinical+ OR AEC+,273,101,0.36996336996337,0.7163120567375887,0.780891719745223,0.7710583153347732,0.29481641468682507
0.2,sinchon_external,Clinical+ AND AEC+,251,94,0.3745019920318725,0.6666666666666666,0.8,0.7796976241900648,0.2710583153347732
0.25,gangnam_internal,Clinical+,273,86,0.315018315018315,0.6666666666666666,0.8054110301768991,0.7889908256880734,0.25045871559633026
0.25,gangnam_internal,AEC+ global,273,90,0.32967032967032966,0.6976744186046512,0.809573361082206,0.7963302752293578,0.25045871559633026
0.25,gangnam_internal,Clinical+ OR AEC+,304,94,0.3092105263157895,0.7286821705426356,0.7814776274713839,0.7752293577981652,0.27889908256880735
0.25,gangnam_internal,Clinical+ AND AEC+,242,82,0.33884297520661155,0.6356589147286822,0.8335067637877211,0.810091743119266,0.22201834862385322
0.25,sinchon_external,Clinical+,308,108,0.35064935064935066,0.7659574468085106,0.7452229299363057,0.7483801295896328,0.3326133909287257
0.25,sinchon_external,AEC+ global,319,104,0.32601880877742945,0.7375886524822695,0.7261146496815286,0.7278617710583153,0.3444924406047516
0.25,sinchon_external,Clinical+ OR AEC+,331,108,0.32628398791540786,0.7659574468085106,0.7159235668789808,0.7235421166306696,0.357451403887689
0.25,sinchon_external,Clinical+ AND AEC+,296,104,0.35135135135135137,0.7375886524822695,0.7554140127388536,0.7526997840172787,0.31965442764578833
