dataset,operating_point,scanner_only_or,scanner_only_wald_p,scanner_only_lrt_p,scanner_plus_clinical_or,scanner_plus_clinical_wald_p,scanner_plus_clinical_lrt_p
gangnam_internal,S80,0.14182774972044934,0.0002726385804074155,4.795167693889209e-06,0.3122381449130927,0.03899799477994653,0.021436397657506157
gangnam_internal,S82.5,0.17782285643246667,0.0003838090404812142,1.7965744135177368e-05,,,
gangnam_internal,S85,0.20291800259247325,0.0010366163696167246,9.086647307749858e-05,0.49891657373826875,0.17762355346487824,0.15230181097005324
gangnam_internal,S87.5,0.13461798412587292,0.0009110438122618723,1.3054024693686e-05,0.3735612687278655,0.11745585379600076,0.08018699628333789
gangnam_internal,S90,,,,,,
sinchon_external,S80,0.19984560655121322,0.0007401583167482906,0.00011963620403966585,0.6398318966915034,0.38583912896761485,0.37281810562896556
sinchon_external,S82.5,0.23790287260237536,0.001427255991997735,0.00038272780115147006,0.813872592168845,0.6760555467546794,0.6726991398277388
sinchon_external,S85,0.17754983381348885,0.0007975959150456662,0.00010525816470227747,0.6225372951262469,0.38971673980544874,0.37468665599427475
sinchon_external,S87.5,0.04861573182911301,0.0032701150162086864,2.7059820016286825e-06,0.1731009829799985,0.09345854242867009,0.03189217726118246
sinchon_external,S90,0.1157656398731615,0.003937204638576091,0.00014258448318526146,0.4622726711092743,0.31859912613471775,0.2765107055159706
